function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,2.92e-07,2.92e-07
<frozen abc>:117:__instancecheck__,4,2.125e-06,5.6167000000000006e-05
<frozen abc>:121:__subclasscheck__,28,4.457000000000001e-06,4.5417e-05
<frozen genericpath>:157:_splitext,3,3.2070000000000004e-06,4.000000000000001e-06
_local.py:237:_format_parsed_parts,1,8.33e-07,1.25e-06
<frozen codecs>:312:__init__,1,2.666e-06,2.9580000000000003e-06
<frozen posixpath>:131:splitdrive,4,9.160000000000001e-07,1.334e-06
<frozen codecs>:334:getstate,3,7.08e-07,7.08e-07
<frozen genericpath>:16:exists,1,1.416e-06,1.45e-05
<frozen _collections_abc>:108:_check_methods,1,1.875e-06,1.875e-06
<frozen posixpath>:117:splitext,3,3.5400000000000004e-06,8.208e-06
<frozen codecs>:322:decode,3,4.25e-06,5.917e-06
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,2.0416000000000002e-05,2.0416000000000002e-05
~:0:<method 'append' of 'list' objects>,37,5.583000000000001e-06,5.583000000000001e-06
~:0:<method 'insert' of 'list' objects>,2,6.25e-07,6.25e-07
~:0:<method 'index' of 'list' objects>,1,3.34e-07,3.34e-07
~:0:<method 'get' of 'dict' objects>,8,2.167e-06,2.167e-06
~:0:<method 'pop' of 'dict' objects>,1,5.830000000000001e-07,5.830000000000001e-07
~:0:<method 'keys' of 'dict' objects>,5,8.33e-07,8.33e-07
~:0:<method 'items' of 'dict' objects>,10,2.041e-06,2.041e-06
~:0:<built-in method __new__ of type object at 0x10397fcf0>,7,2.2920000000000002e-06,2.2920000000000002e-06
~:0:<method 'replace' of 'str' objects>,12,2.209e-06,2.209e-06
~:0:<method 'split' of 'str' objects>,2,1.5e-06,1.5e-06
~:0:<method 'join' of 'str' objects>,1,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<method 'find' of 'str' objects>,2,8.33e-07,8.33e-07
~:0:<method 'lstrip' of 'str' objects>,14,2.126e-06,2.126e-06
~:0:<method 'rfind' of 'str' objects>,6,7.930000000000001e-07,7.930000000000001e-07
~:0:<method 'strip' of 'str' objects>,2,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<method 'startswith' of 'str' objects>,7,1.21e-06,1.21e-06
~:0:<method 'endswith' of 'str' objects>,6,6.26e-07,6.26e-07
~:0:<method 'removeprefix' of 'str' objects>,4,5.41e-07,5.41e-07
~:0:<built-in method builtins.abs>,2,5.6660000000000005e-06,5.6660000000000005e-06
~:0:<built-in method builtins.all>,2,1.292e-06,3.0420000000000003e-06
~:0:<built-in method builtins.any>,2,1.917e-06,5.500000000000001e-06
~:0:<built-in method builtins.getattr>,8,4.417e-06,4.417e-06
~:0:<built-in method builtins.hasattr>,30628,0.0027824800000000004,0.0027824800000000004
~:0:<built-in method builtins.isinstance>,45991,0.003418658,0.0034748250000000004
~:0:<built-in method builtins.issubclass>,30642,0.0024135790000000003,0.0024135790000000003
~:0:<built-in method builtins.iter>,1,1.2500000000000002e-07,1.2500000000000002e-07
~:0:<built-in method builtins.len>,63,6.835000000000001e-06,6.835000000000001e-06
~:0:<built-in method builtins.max>,1,5.830000000000001e-07,5.830000000000001e-07
~:0:<built-in method builtins.min>,1,4.5800000000000005e-07,4.5800000000000005e-07
~:0:<built-in method builtins.sorted>,3,0.0019093340000000002,0.0019093340000000002
~:0:<built-in method builtins.sum>,1,2.041e-06,4.125e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,1,1.25e-06,1.25e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,1,6.660000000000001e-07,6.660000000000001e-07
~:0:<built-in method sys.intern>,6,4.833e-06,4.833e-06
~:0:<built-in method posix.stat>,1,1.3084e-05,1.3084e-05
~:0:<built-in method posix.getcwd>,1,0.000262709,0.000262709
