function_key,function_before,main (before)_cumtime,function_after,feat/safe-speedup (after)_cumtime,delta,percent_change
base_flare_detector.py::process_data,base_flare_detector.py:462:process_data,2.008371583,base_flare_detector.py:521:process_data,1.736863291,-0.27150829200000026,-13.518827606315531
base_flare_detector.py::rotation_period,base_flare_detector.py:450:rotation_period,1.519165,base_flare_detector.py:505:rotation_period,1.595057208,0.07589220799999996,4.995652743447878
base_flare_detector.py::reestimate_errors,base_flare_detector.py:213:reestimate_errors,0.476643833,base_flare_detector.py:217:reestimate_errors,0.129857791,-0.346786042,-72.75580170991114
base_flare_detector.py::detrend_flux,base_flare_detector.py:191:detrend_flux,0.009356833,base_flare_detector.py:195:detrend_flux,0.008875375,-0.0004814580000000006,-5.145523063198847
base_flare_detector.py::lowpass,base_flare_detector.py:180:lowpass,0.006662334,base_flare_detector.py:184:lowpass,0.006434083,-0.00022825099999999963,-3.4259915519095805
base_flare_detector.py::flux_diff,base_flare_detector.py:418:flux_diff,0.001686333,base_flare_detector.py:473:flux_diff,0.001813625,0.000127292,7.548449802026052
base_flare_detector.py::flaredetect,base_flare_detector.py:225:flaredetect,0.00099225,base_flare_detector.py:252:flaredetect,0.000790958,-0.00020129200000000005,-20.286419753086424
base_flare_detector.py::tess_band_energy,base_flare_detector.py:376:tess_band_energy,0.000937125,base_flare_detector.py:403:tess_band_energy,0.000732583,-0.00020454200000000005,-21.826543950913706
base_flare_detector.py::apply_gap_correction,base_flare_detector.py:157:apply_gap_correction,0.000219417,base_flare_detector.py:161:apply_gap_correction,0.000168666,-5.0751e-05,-23.1299306799382
base_flare_detector.py::calculate_precise_obs_time,base_flare_detector.py:396:calculate_precise_obs_time,2.6666e-05,base_flare_detector.py:451:calculate_precise_obs_time,2.8917e-05,2.2510000000000027e-06,8.441461036525924
base_flare_detector.py::planck,base_flare_detector.py:372:planck,1.5292000000000002e-05,base_flare_detector.py:399:planck,1.6042e-05,7.499999999999979e-07,4.904525241956565
base_flare_detector.py::flaredetect_check,base_flare_detector.py:287:flaredetect_check,6.916e-06,base_flare_detector.py:314:flaredetect_check,7.084e-06,1.6799999999999992e-07,2.4291497975708487
base_flare_detector.py::<genexpr>,base_flare_detector.py:400:<genexpr>,1.791e-06,base_flare_detector.py:455:<genexpr>,1.876e-06,8.499999999999982e-08,4.745951982132877
base_flare_detector.py::flare_energy,base_flare_detector.py:403:flare_energy,9.58e-07,base_flare_detector.py:458:flare_energy,6.25e-07,-3.329999999999999e-07,-34.75991649269311
base_flare_detector.py::remove,base_flare_detector.py:458:remove,2.08e-07,base_flare_detector.py:517:remove,8.400000000000001e-08,-1.24e-07,-59.61538461538461
base_flare_detector.py::_get_star_intensity_ratio,base_flare_detector.py:436:_get_star_intensity_ratio,0.0,base_flare_detector.py:436:_get_star_intensity_ratio,3.5042e-05,3.5042e-05,
base_flare_detector.py::_get_tess_response,base_flare_detector.py:420:_get_tess_response,0.0,base_flare_detector.py:420:_get_tess_response,0.0006925,0.0006925,
