function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,2.91e-07,2.91e-07
<frozen abc>:117:__instancecheck__,4,1.666e-06,5.2959000000000006e-05
<frozen abc>:121:__subclasscheck__,28,3.7540000000000004e-06,4.4335e-05
<frozen genericpath>:157:_splitext,3,2.707e-06,3.3750000000000003e-06
_local.py:237:_format_parsed_parts,1,8.750000000000001e-07,1.25e-06
<frozen codecs>:312:__init__,1,6.67e-07,9.58e-07
<frozen posixpath>:131:splitdrive,4,1.0420000000000001e-06,1.292e-06
<frozen codecs>:334:getstate,3,4.16e-07,4.16e-07
<frozen genericpath>:16:exists,1,1.001e-06,8.667e-06
<frozen _collections_abc>:108:_check_methods,1,1.917e-06,1.917e-06
<frozen posixpath>:117:splitext,3,2.623e-06,6.4170000000000006e-06
<frozen codecs>:322:decode,3,1.9600000000000003e-06,6.751e-06
<frozen os>:1127:__subclasshook__,1,1.041e-06,2.9580000000000003e-06
<frozen posixpath>:42:_get_sep,3,7.070000000000001e-07,1.1240000000000002e-06
contextlib.py:361:__enter__,1,8.3e-08,8.3e-08
_local.py:166:__fspath__,1,1.3750000000000002e-06,2.8833000000000003e-05
contextlib.py:359:__init__,1,1.67e-07,1.67e-07
contextlib.py:786:__init__,1,7.09e-07,7.09e-07
_local.py:289:drive,1,3.334e-06,2.1375e-05
_local.py:298:root,1,8.3e-08,8.3e-08
_local.py:307:_tail,1,8.3e-08,8.3e-08
_local.py:277:_raw_path,1,1.8760000000000001e-06,7.583e-06
contextlib.py:363:__exit__,1,1.083e-06,4.208e-06
_local.py:227:__str__,1,4.667e-06,2.7458e-05
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,7.666e-06,7.666e-06
~:0:<method 'append' of 'list' objects>,38,4.458e-06,4.458e-06
~:0:<method 'insert' of 'list' objects>,2,6.25e-07,6.25e-07
~:0:<method 'index' of 'list' objects>,1,2.08e-07,2.08e-07
~:0:<method 'bit_length' of 'int' objects>,3,6.25e-07,6.25e-07
~:0:<method 'get' of 'dict' objects>,8,1.584e-06,1.584e-06
~:0:<method 'pop' of 'dict' objects>,2,9.58e-07,9.58e-07
~:0:<method 'keys' of 'dict' objects>,5,6.67e-07,6.67e-07
~:0:<method 'items' of 'dict' objects>,15,2.291e-06,2.291e-06
~:0:<method 'update' of 'dict' objects>,2,1.7490000000000001e-06,1.7490000000000001e-06
~:0:<method 'copy' of 'dict' objects>,1,4.16e-07,4.16e-07
~:0:<built-in method __new__ of type object at 0x104e47cf0>,7,1.5e-06,1.5e-06
~:0:<method 'replace' of 'str' objects>,12,1.373e-06,1.373e-06
~:0:<method 'split' of 'str' objects>,2,1.083e-06,1.083e-06
~:0:<method 'join' of 'str' objects>,1,3.75e-07,3.75e-07
~:0:<method 'find' of 'str' objects>,2,5.420000000000001e-07,5.420000000000001e-07
~:0:<method 'lstrip' of 'str' objects>,14,1.6680000000000002e-06,1.6680000000000002e-06
~:0:<method 'rfind' of 'str' objects>,6,6.68e-07,6.68e-07
~:0:<method 'strip' of 'str' objects>,2,2.92e-07,2.92e-07
~:0:<method 'startswith' of 'str' objects>,7,1.2900000000000001e-06,1.2900000000000001e-06
~:0:<method 'endswith' of 'str' objects>,6,7.100000000000001e-07,7.100000000000001e-07
~:0:<method 'removeprefix' of 'str' objects>,4,4.59e-07,4.59e-07
~:0:<built-in method builtins.abs>,5,1.0915000000000001e-05,1.0915000000000001e-05
~:0:<built-in method builtins.all>,2,1.416e-06,3.4160000000000004e-06
~:0:<built-in method builtins.any>,2,1.5010000000000001e-06,4.792e-06
~:0:<built-in method builtins.getattr>,14,3.876e-06,3.876e-06
~:0:<built-in method builtins.hasattr>,30628,0.002349882,0.002349882
~:0:<built-in method builtins.isinstance>,46005,0.0029519000000000004,0.0030048590000000003
~:0:<built-in method builtins.issubclass>,30642,0.001994637,0.001994637
~:0:<built-in method builtins.iter>,1,8.3e-08,8.3e-08
~:0:<built-in method builtins.len>,74,6.752000000000001e-06,6.752000000000001e-06
~:0:<built-in method builtins.max>,1,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<built-in method builtins.min>,1,3.75e-07,3.75e-07
~:0:<built-in method builtins.sorted>,3,0.0017717910000000002,0.0017717910000000002
~:0:<built-in method builtins.sum>,1,1.333e-06,3.333e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,2,1.584e-06,1.584e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,2,8.760000000000001e-07,8.760000000000001e-07
~:0:<built-in method sys.intern>,6,4.041e-06,4.041e-06
~:0:<built-in method posix.stat>,1,7.666e-06,7.666e-06
~:0:<built-in method posix.getcwd>,1,0.0008469580000000001,0.0008469580000000001
~:0:<built-in method posix._path_splitroot_ex>,1,1.125e-06,1.125e-06
~:0:<built-in method posix._path_normpath>,3,1.207e-06,1.207e-06
~:0:<built-in method posix.fspath>,17,2.126e-06,3.0543e-05
~:0:<built-in method _codecs.utf_8_decode>,3,4.791e-06,4.791e-06
~:0:<built-in method _io.open>,1,0.000125501,0.00012645900000000002
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,3.125e-06,3.125e-06
~:0:<built-in method _abc._abc_instancecheck>,4,6.958e-06,5.1293000000000005e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,3.7623e-05,4.3417e-05
~:0:<built-in method _operator.index>,8,1.001e-06,1.001e-06
fromnumeric.py:3735:mean,3,6.292e-06,4.4667000000000004e-05
shape_base.py:21:atleast_1d,6,7.5e-06,1.3083000000000002e-05
fromnumeric.py:1904:ravel,21,9.707e-06,2.0041e-05
multiarray.py:188:concatenate,14,8.35e-07,8.35e-07
multiarray.py:391:where,6,5.01e-07,5.01e-07
multiarray.py:769:dot,2,1.67e-07,1.67e-07
multiarray.py:1106:copyto,5,4.5700000000000003e-07,4.5700000000000003e-07
getlimits.py:709:min,3,9.160000000000001e-07,9.160000000000001e-07
multiarray.py:115:empty_like,7,5.41e-07,5.41e-07
multiarray.py:698:result_type,17,1.046e-06,1.046e-06
fromnumeric.py:1621:squeeze,1,1.249e-06,1.5410000000000002e-06
numeric.py:171:ones,1,3.458e-06,4.125e-06
_ufunc_config.py:436:__init__,2,3.75e-07,3.75e-07
fromnumeric.py:3523:ndim,5,3.3750000000000003e-06,5.625e-06
numeric.py:2465:<genexpr>,10,2.584e-06,3.7930000000000004e-06
fromnumeric.py:109:take,1,6.25e-07,7.9375e-05
fromnumeric.py:1129:argsort,1,1.542e-06,2.8000000000000003e-05
fromnumeric.py:89:_wrapreduction_any_all,9,1.1376000000000001e-05,3.3625000000000004e-05
getlimits.py:722:max,3,6.25e-07,6.25e-07
~:0:<built-in method math.factorial>,3,8.33e-07,8.33e-07
~:0:<built-in method math.prod>,1,5.830000000000001e-07,5.830000000000001e-07
numerictypes.py:293:issubclass_,14,4.248000000000001e-06,9.041e-06
_ufunc_config.py:462:__exit__,2,1.1660000000000001e-06,2.042e-06
fromnumeric.py:3052:max,1,6.67e-07,4.875e-06
fromnumeric.py:3328:prod,3,2.4170000000000003e-06,4.7876e-05
numeric.py:1469:<genexpr>,8,1.333e-06,1.709e-06
fromnumeric.py:105:_take_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:753:_partition_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1125:_argsort_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1246:_argmax_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1617:_squeeze_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1900:_ravel_dispatcher,21,2.2080000000000003e-06,2.2080000000000003e-06
fromnumeric.py:2333:_sum_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
fromnumeric.py:3047:_max_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:3323:_prod_dispatcher,3,2.91e-07,2.91e-07
fromnumeric.py:3519:_ndim_dispatcher,5,2.92e-07,2.92e-07
numerictypes.py:475:issubdtype,7,6.586e-06,1.6208e-05
fromnumeric.py:2338:sum,2,2.8340000000000003e-06,1.0667000000000001e-05
fromnumeric.py:2477:any,3,2.707e-06,1.3374000000000001e-05
fromnumeric.py:2589:all,6,3.001e-06,2.5959e-05
shape_base.py:295:hstack,4,3.5877e-05,4.5958e-05
fromnumeric.py:1250:argmax,1,1.0000000000000002e-06,1.1208e-05
_methods.py:57:_any,5,2.582e-06,1.2375000000000001e-05
_methods.py:66:_all,4,1.25e-06,6.583e-06
numeric.py:2279:allclose,2,6.125000000000001e-06,0.000120958
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.7080000000000002e-06,2.7490000000000003e-06
fromnumeric.py:51:_wrapfunc,6,5.833000000000001e-06,0.000151792
fromnumeric.py:757:partition,1,1.7080000000000002e-06,2.6208e-05
numeric.py:324:full,4,1.9461000000000002e-05,2.425e-05
numeric.py:1964:isscalar,2,5.000000000000001e-07,7.5e-07
fromnumeric.py:2236:_clip_dispatcher,3,3.34e-07,3.34e-07
fromnumeric.py:2472:_any_dispatcher,3,2.92e-07,2.92e-07
