function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,2.08e-07,2.08e-07
<frozen abc>:117:__instancecheck__,4,1.917e-06,4.9417000000000005e-05
<frozen abc>:121:__subclasscheck__,28,4.124000000000001e-06,4.1083e-05
<frozen genericpath>:157:_splitext,3,2.584e-06,3.5000000000000004e-06
_local.py:237:_format_parsed_parts,1,7.5e-07,1.2080000000000001e-06
<frozen codecs>:312:__init__,1,8.340000000000001e-07,1.0420000000000001e-06
<frozen posixpath>:131:splitdrive,4,8.33e-07,1.292e-06
<frozen codecs>:334:getstate,3,5.000000000000001e-07,5.000000000000001e-07
<frozen genericpath>:16:exists,1,1.249e-06,8.791000000000001e-06
<frozen _collections_abc>:108:_check_methods,1,1.875e-06,1.875e-06
<frozen posixpath>:117:splitext,3,2.791e-06,6.792e-06
<frozen codecs>:322:decode,3,2.291e-06,7.333000000000001e-06
<frozen os>:1127:__subclasshook__,1,8.750000000000001e-07,2.7500000000000004e-06
<frozen posixpath>:42:_get_sep,3,6.25e-07,9.58e-07
contextlib.py:361:__enter__,1,8.3e-08,8.3e-08
_local.py:166:__fspath__,1,1.167e-06,2.725e-05
contextlib.py:359:__init__,1,2.08e-07,2.08e-07
contextlib.py:786:__init__,1,3.75e-07,3.75e-07
_local.py:289:drive,1,3.1670000000000003e-06,2.0292e-05
_local.py:298:root,1,4.2000000000000006e-08,4.2000000000000006e-08
_local.py:307:_tail,1,1.2500000000000002e-07,1.2500000000000002e-07
_local.py:277:_raw_path,1,1.917e-06,7.667000000000001e-06
contextlib.py:363:__exit__,1,1.0420000000000001e-06,4.209e-06
_local.py:227:__str__,1,4.416000000000001e-06,2.6083e-05
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,9.375000000000001e-06,9.375000000000001e-06
~:0:<built-in method math.prod>,1,6.67e-07,6.67e-07
~:0:<method 'append' of 'list' objects>,40,4.665e-06,4.665e-06
~:0:<method 'insert' of 'list' objects>,2,7.08e-07,7.08e-07
~:0:<method 'index' of 'list' objects>,1,5.420000000000001e-07,5.420000000000001e-07
~:0:<method 'get' of 'dict' objects>,8,1.7500000000000002e-06,1.7500000000000002e-06
~:0:<method 'pop' of 'dict' objects>,2,9.170000000000001e-07,9.170000000000001e-07
~:0:<method 'keys' of 'dict' objects>,5,8.750000000000001e-07,8.750000000000001e-07
~:0:<method 'items' of 'dict' objects>,16,2.458e-06,2.458e-06
~:0:<built-in method __new__ of type object at 0x10524fcf0>,7,2.4170000000000003e-06,2.4170000000000003e-06
~:0:<method 'replace' of 'str' objects>,12,1.8760000000000001e-06,1.8760000000000001e-06
~:0:<method 'split' of 'str' objects>,2,1.041e-06,1.041e-06
~:0:<method 'join' of 'str' objects>,1,4.5800000000000005e-07,4.5800000000000005e-07
~:0:<method 'find' of 'str' objects>,2,6.25e-07,6.25e-07
~:0:<method 'lstrip' of 'str' objects>,14,1.9150000000000003e-06,1.9150000000000003e-06
~:0:<method 'rfind' of 'str' objects>,6,9.160000000000001e-07,9.160000000000001e-07
~:0:<method 'strip' of 'str' objects>,2,3.7400000000000004e-07,3.7400000000000004e-07
~:0:<method 'startswith' of 'str' objects>,8,1.376e-06,1.376e-06
~:0:<method 'endswith' of 'str' objects>,6,6.67e-07,6.67e-07
~:0:<method 'removeprefix' of 'str' objects>,4,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<built-in method builtins.abs>,6,2.2082000000000003e-05,2.2082000000000003e-05
~:0:<built-in method builtins.all>,2,1.209e-06,2.7090000000000002e-06
~:0:<built-in method builtins.any>,2,1.748e-06,1.0999000000000001e-05
~:0:<built-in method builtins.getattr>,30628,0.002223829,0.002223829
~:0:<built-in method builtins.hasattr>,30630,0.0027287,0.0027287
~:0:<built-in method builtins.isinstance>,45998,0.003462371,0.003511788
~:0:<built-in method builtins.issubclass>,30642,0.002376972,0.002376972
~:0:<built-in method builtins.iter>,1,8.400000000000001e-08,8.400000000000001e-08
~:0:<built-in method builtins.len>,71,6.54e-06,6.54e-06
~:0:<built-in method builtins.max>,1,4.5800000000000005e-07,4.5800000000000005e-07
~:0:<built-in method builtins.min>,1,2.5000000000000004e-07,2.5000000000000004e-07
~:0:<built-in method builtins.sorted>,3,0.0018749580000000001,0.0018749580000000001
~:0:<built-in method builtins.sum>,1,1.5010000000000001e-06,3.084e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,3,2.0000000000000003e-06,2.0000000000000003e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,3,1.5830000000000001e-06,1.5830000000000001e-06
~:0:<built-in method sys.intern>,6,3.501e-06,3.501e-06
~:0:<built-in method posix.stat>,1,7.542000000000001e-06,7.542000000000001e-06
~:0:<built-in method posix.getcwd>,1,0.000228583,0.000228583
~:0:<built-in method posix._path_splitroot_ex>,1,1.0000000000000002e-06,1.0000000000000002e-06
~:0:<built-in method posix._path_normpath>,3,1.2080000000000001e-06,1.2080000000000001e-06
~:0:<built-in method posix.fspath>,17,2.5020000000000004e-06,2.9502000000000003e-05
~:0:<built-in method _codecs.utf_8_decode>,3,5.042e-06,5.042e-06
~:0:<built-in method _io.open>,1,0.000141249,0.000142291
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,3.1670000000000003e-06,3.1670000000000003e-06
~:0:<built-in method _abc._abc_instancecheck>,4,6.4170000000000006e-06,4.75e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,3.4209000000000004e-05,4.0042e-05
~:0:<built-in method _operator.index>,8,9.600000000000001e-07,9.600000000000001e-07
fromnumeric.py:3735:mean,3,6.667000000000001e-06,5.2792000000000005e-05
shape_base.py:21:atleast_1d,6,7.586000000000001e-06,1.2749000000000001e-05
fromnumeric.py:1904:ravel,9,5.5420000000000005e-06,1.5708e-05
multiarray.py:188:concatenate,14,1.0420000000000001e-06,1.0420000000000001e-06
multiarray.py:391:where,6,8.33e-07,8.33e-07
multiarray.py:769:dot,1,8.400000000000001e-08,8.400000000000001e-08
multiarray.py:1106:copyto,5,4.16e-07,4.16e-07
multiarray.py:115:empty_like,4,3.75e-07,3.75e-07
multiarray.py:698:result_type,12,9.56e-07,9.56e-07
fromnumeric.py:1621:squeeze,1,1.125e-06,1.5e-06
numeric.py:171:ones,1,1.1167e-05,1.1917000000000001e-05
_ufunc_config.py:436:__init__,3,7.08e-07,7.08e-07
fromnumeric.py:3523:ndim,5,2.666e-06,4.583e-06
numeric.py:2465:<genexpr>,15,4.21e-06,6.168e-06
fromnumeric.py:109:take,1,5.830000000000001e-07,8.65e-05
fromnumeric.py:1129:argsort,1,1.7080000000000002e-06,2.8458e-05
fromnumeric.py:1446:searchsorted,30614,0.0070789600000000005,0.083037914
fromnumeric.py:89:_wrapreduction_any_all,12,1.3375000000000002e-05,3.9332e-05
numerictypes.py:293:issubclass_,14,4.544e-06,9.001e-06
_ufunc_config.py:462:__exit__,3,1.8760000000000001e-06,3.4590000000000003e-06
fromnumeric.py:3052:max,1,1.667e-06,1.8e-05
numeric.py:1469:<genexpr>,8,1.3780000000000002e-06,1.919e-06
fromnumeric.py:105:_take_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:753:_partition_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1125:_argsort_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1246:_argmax_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1617:_squeeze_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1900:_ravel_dispatcher,9,7.09e-07,7.09e-07
fromnumeric.py:2333:_sum_dispatcher,3,3.75e-07,3.75e-07
fromnumeric.py:3047:_max_dispatcher,1,4.2000000000000006e-08,4.2000000000000006e-08
fromnumeric.py:3519:_ndim_dispatcher,5,4.5800000000000005e-07,4.5800000000000005e-07
numerictypes.py:475:issubdtype,7,6.792e-06,1.6417000000000002e-05
fromnumeric.py:2338:sum,3,3.8350000000000006e-06,1.6501e-05
fromnumeric.py:2477:any,3,2.666e-06,1.2332000000000002e-05
fromnumeric.py:2589:all,9,4.335e-06,3.4001e-05
shape_base.py:295:hstack,4,3.2914000000000004e-05,4.2958000000000004e-05
fromnumeric.py:1250:argmax,1,2.7090000000000002e-06,1.7042e-05
_methods.py:57:_any,5,2.458e-06,1.3792000000000001e-05
_methods.py:66:_all,6,1.833e-06,8.709e-06
numeric.py:2279:allclose,3,7.708e-06,0.000180458
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.6260000000000002e-06,2.584e-06
fromnumeric.py:51:_wrapfunc,30617,0.007332684000000001,0.07608595400000001
fromnumeric.py:757:partition,1,2.666e-06,3.3208000000000005e-05
numeric.py:324:full,4,1.7706e-05,2.1874e-05
numeric.py:1964:isscalar,2,4.59e-07,8.340000000000001e-07
fromnumeric.py:1442:_searchsorted_dispatcher,30614,0.001836879,0.001836879
fromnumeric.py:2472:_any_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:2584:_all_dispatcher,9,8.32e-07,8.32e-07
fromnumeric.py:3730:_mean_dispatcher,3,2.09e-07,2.09e-07
fromnumeric.py:3864:_std_dispatcher,15307,0.000957185,0.000957185
shape_base.py:216:_vhstack_dispatcher,4,1.833e-06,4.417e-06
numeric.py:2275:_allclose_dispatcher,3,3.75e-07,3.75e-07
numeric.py:2369:_isclose_dispatcher,3,2.09e-07,2.09e-07
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,2.92e-07,2.92e-07
_function_base_impl.py:5661:append,9,2.6335e-05,4.4418e-05
_datasource.py:290:_possible_names,2,3.458e-06,2.1999e-05
