function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,1.2500000000000002e-07,1.2500000000000002e-07
<frozen abc>:117:__instancecheck__,4,1.584e-06,5.2292e-05
<frozen abc>:121:__subclasscheck__,28,4.001e-06,4.3918e-05
<frozen genericpath>:157:_splitext,3,3.084e-06,3.917e-06
_local.py:237:_format_parsed_parts,1,8.74e-07,1.416e-06
<frozen codecs>:312:__init__,1,9.58e-07,1.083e-06
<frozen posixpath>:131:splitdrive,4,1.21e-06,1.585e-06
<frozen codecs>:334:getstate,3,6.650000000000001e-07,6.650000000000001e-07
<frozen genericpath>:16:exists,1,1.0420000000000001e-06,8.625000000000001e-06
<frozen _collections_abc>:108:_check_methods,1,1.875e-06,1.875e-06
<frozen posixpath>:117:splitext,3,3.125e-06,7.5840000000000006e-06
<frozen codecs>:322:decode,3,4.082e-06,1.0917e-05
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,8.708e-06,8.708e-06
~:0:<built-in method math.factorial>,3,9.170000000000001e-07,9.170000000000001e-07
~:0:<built-in method math.prod>,1,7.08e-07,7.08e-07
~:0:<method 'append' of 'list' objects>,38,4.958000000000001e-06,4.958000000000001e-06
~:0:<method 'insert' of 'list' objects>,2,6.25e-07,6.25e-07
~:0:<method 'index' of 'list' objects>,1,2.91e-07,2.91e-07
~:0:<method 'bit_length' of 'int' objects>,3,3.7600000000000003e-07,3.7600000000000003e-07
~:0:<method 'get' of 'dict' objects>,8,1.8320000000000002e-06,1.8320000000000002e-06
~:0:<method 'pop' of 'dict' objects>,2,7.510000000000001e-07,7.510000000000001e-07
~:0:<method 'keys' of 'dict' objects>,5,9.58e-07,9.58e-07
~:0:<method 'items' of 'dict' objects>,15,2.7090000000000002e-06,2.7090000000000002e-06
~:0:<method 'update' of 'dict' objects>,2,1.542e-06,1.542e-06
~:0:<method 'copy' of 'dict' objects>,1,3.75e-07,3.75e-07
~:0:<built-in method __new__ of type object at 0x1051e3cf0>,7,1.793e-06,1.793e-06
~:0:<method 'replace' of 'str' objects>,12,2.375e-06,2.375e-06
~:0:<method 'split' of 'str' objects>,2,1.5410000000000002e-06,1.5410000000000002e-06
~:0:<method 'join' of 'str' objects>,1,5.420000000000001e-07,5.420000000000001e-07
~:0:<method 'find' of 'str' objects>,2,6.68e-07,6.68e-07
~:0:<method 'lstrip' of 'str' objects>,14,2.542e-06,2.542e-06
~:0:<method 'rfind' of 'str' objects>,6,8.33e-07,8.33e-07
~:0:<method 'strip' of 'str' objects>,2,4.18e-07,4.18e-07
~:0:<method 'startswith' of 'str' objects>,7,1.5e-06,1.5e-06
~:0:<method 'endswith' of 'str' objects>,6,9.160000000000001e-07,9.160000000000001e-07
~:0:<method 'removeprefix' of 'str' objects>,4,6.67e-07,6.67e-07
~:0:<built-in method builtins.abs>,5,1.2042000000000001e-05,1.2042000000000001e-05
~:0:<built-in method builtins.all>,2,1.25e-06,3.2500000000000002e-06
~:0:<built-in method builtins.any>,2,2.5e-06,6.125000000000001e-06
~:0:<built-in method builtins.getattr>,16,5.001e-06,5.001e-06
~:0:<built-in method builtins.hasattr>,14,5.21e-06,5.21e-06
~:0:<built-in method builtins.isinstance>,84,1.5376e-05,6.7668e-05
~:0:<built-in method builtins.issubclass>,28,7.456e-06,7.456e-06
~:0:<built-in method builtins.iter>,1,1.2500000000000002e-07,1.2500000000000002e-07
~:0:<built-in method builtins.len>,74,7.583e-06,7.583e-06
~:0:<built-in method builtins.max>,16782,0.00107445,0.00107445
~:0:<built-in method builtins.min>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<built-in method builtins.sorted>,3,0.0021394580000000003,0.0021394580000000003
~:0:<built-in method builtins.sum>,1,2.25e-06,5.917e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,2,1.917e-06,1.917e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,2,1.0840000000000001e-06,1.0840000000000001e-06
~:0:<built-in method sys.intern>,6,3.165e-06,3.165e-06
~:0:<built-in method posix.stat>,1,7.583e-06,7.583e-06
~:0:<built-in method posix.getcwd>,1,0.00027075,0.00027075
~:0:<built-in method posix._path_splitroot_ex>,1,1.083e-06,1.083e-06
~:0:<built-in method posix._path_normpath>,3,1.543e-06,1.543e-06
~:0:<built-in method posix.fspath>,17,2.4170000000000003e-06,3.3333e-05
~:0:<built-in method _codecs.utf_8_decode>,3,6.835000000000001e-06,6.835000000000001e-06
~:0:<built-in method _io.open>,1,0.000138292,0.000139375
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,3.5830000000000003e-06,3.5830000000000003e-06
~:0:<built-in method _abc._abc_instancecheck>,4,6.79e-06,5.0708e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,3.6876000000000004e-05,4.2791000000000004e-05
~:0:<built-in method _operator.index>,8,1.0420000000000001e-06,1.0420000000000001e-06
<frozen os>:1127:__subclasshook__,1,1.1660000000000001e-06,3.041e-06
<frozen posixpath>:42:_get_sep,3,9.170000000000001e-07,1.333e-06
contextlib.py:361:__enter__,1,1.67e-07,1.67e-07
_local.py:166:__fspath__,1,1.292e-06,3.1125000000000004e-05
contextlib.py:359:__init__,1,2.5000000000000004e-07,2.5000000000000004e-07
contextlib.py:786:__init__,1,7.08e-07,7.08e-07
_local.py:289:drive,1,3.7080000000000003e-06,2.3292e-05
_local.py:298:root,1,8.3e-08,8.3e-08
_local.py:307:_tail,1,4.1e-08,4.1e-08
_local.py:277:_raw_path,1,2.125e-06,1.0042000000000001e-05
contextlib.py:363:__exit__,1,1.376e-06,4.959e-06
_local.py:227:__str__,1,5.001e-06,2.9833e-05
getlimits.py:709:min,3,1.0000000000000002e-06,1.0000000000000002e-06
fromnumeric.py:3735:mean,3,9.251e-06,7.8751e-05
fromnumeric.py:1904:ravel,21,1.0704000000000001e-05,2.1541000000000003e-05
fromnumeric.py:1621:squeeze,1,1.5e-06,1.7500000000000002e-06
numerictypes.py:293:issubclass_,14,5.2550000000000005e-06,1.0753e-05
multiarray.py:188:concatenate,16,1.374e-06,1.374e-06
numeric.py:171:ones,1,3.7930000000000004e-06,4.5840000000000005e-06
_ufunc_config.py:436:__init__,2,3.34e-07,3.34e-07
fromnumeric.py:3523:ndim,5,3.417e-06,5.500000000000001e-06
numeric.py:2465:<genexpr>,10,3.041e-06,5.166e-06
shape_base.py:295:hstack,4,3.3918e-05,4.6584e-05
fromnumeric.py:51:_wrapfunc,8,8.582e-06,0.000191959
fromnumeric.py:757:partition,1,1.7920000000000002e-06,2.8125000000000003e-05
numeric.py:324:full,4,1.0793e-05,1.5126e-05
numeric.py:1964:isscalar,2,6.660000000000001e-07,1.041e-06
fromnumeric.py:109:take,1,6.660000000000001e-07,9.1291e-05
fromnumeric.py:1129:argsort,1,1.6250000000000001e-06,3.3625000000000004e-05
fromnumeric.py:2879:cumsum,2,1.374e-06,2.0541000000000002e-05
fromnumeric.py:89:_wrapreduction_any_all,9,1.2747e-05,3.8042e-05
getlimits.py:722:max,3,4.59e-07,4.59e-07
_ufunc_config.py:462:__exit__,2,1.4170000000000002e-06,2.5010000000000003e-06
fromnumeric.py:3052:max,1,7.49e-07,6.2080000000000005e-06
fromnumeric.py:3328:prod,3,2.458e-06,5.6624000000000005e-05
numeric.py:1469:<genexpr>,8,1.627e-06,2.335e-06
multiarray.py:115:empty_like,7,4.1900000000000003e-07,4.1900000000000003e-07
multiarray.py:698:result_type,17,1.126e-06,1.126e-06
fromnumeric.py:105:_take_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1250:argmax,1,1.0840000000000001e-06,1.1084000000000001e-05
_methods.py:57:_any,5,2.7090000000000002e-06,1.4459000000000002e-05
_methods.py:66:_all,4,1.5e-06,7.875e-06
numeric.py:2279:allclose,2,6.248e-06,0.000136207
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.709e-06,2.7090000000000002e-06
multiarray.py:391:where,6,6.240000000000001e-07,6.240000000000001e-07
multiarray.py:769:dot,2,1.66e-07,1.66e-07
multiarray.py:1106:copyto,5,4.18e-07,4.18e-07
numerictypes.py:475:issubdtype,7,7.247e-06,1.8584e-05
fromnumeric.py:2338:sum,2,3.7920000000000003e-06,1.5625e-05
fromnumeric.py:2236:_clip_dispatcher,3,5.000000000000001e-07,5.000000000000001e-07
fromnumeric.py:2472:_any_dispatcher,3,2.08e-07,2.08e-07
fromnumeric.py:2584:_all_dispatcher,6,6.26e-07,6.26e-07
fromnumeric.py:3730:_mean_dispatcher,3,2.5000000000000004e-07,2.5000000000000004e-07
shape_base.py:216:_vhstack_dispatcher,4,2.2920000000000002e-06,5.001e-06
numeric.py:2275:_allclose_dispatcher,2,2.08e-07,2.08e-07
numeric.py:2369:_isclose_dispatcher,2,3.34e-07,3.34e-07
fromnumeric.py:2477:any,3,2.917e-06,1.4542e-05
fromnumeric.py:2589:all,6,3.1670000000000003e-06,2.9584000000000003e-05
fromnumeric.py:753:_partition_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1125:_argsort_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1246:_argmax_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1617:_squeeze_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1900:_ravel_dispatcher,21,1.8350000000000002e-06,1.8350000000000002e-06
fromnumeric.py:2333:_sum_dispatcher,2,2.09e-07,2.09e-07
fromnumeric.py:2875:_cumsum_dispatcher,2,2.92e-07,2.92e-07
fromnumeric.py:3047:_max_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:3323:_prod_dispatcher,3,2.91e-07,2.91e-07
fromnumeric.py:3519:_ndim_dispatcher,5,4.5800000000000005e-07,4.5800000000000005e-07
_methods.py:45:_amin,3,1.0000000000000002e-06,1.5042000000000001e-05
_methods.py:49:_sum,1,3.34e-07,4.542e-06
_stride_tricks_impl.py:413:_broadcast_shape,8,1.4456e-05,1.5249000000000001e-05
_stride_tricks_impl.py:481:broadcast_arrays,8,1.4874e-05,4.7749e-05
shape_base.py:17:_atleast_1d_dispatcher,6,5.000000000000001e-07,5.000000000000001e-07
numeric.py:1478:_moveaxis_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
shape_base.py:21:atleast_1d,6,8.749e-06,1.5416e-05
_datasource.py:371:abspath,1,4.000000000000001e-06,3.0084000000000002e-05
