function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,8.3e-08,8.3e-08
<frozen abc>:117:__instancecheck__,4,1.791e-06,5.3583000000000005e-05
<frozen abc>:121:__subclasscheck__,28,3.958e-06,4.4082e-05
<frozen genericpath>:157:_splitext,3,2.666e-06,3.6670000000000002e-06
_local.py:237:_format_parsed_parts,1,8.340000000000001e-07,1.292e-06
<frozen codecs>:312:__init__,1,9.170000000000001e-07,1.0000000000000002e-06
<frozen posixpath>:131:splitdrive,4,1.1660000000000001e-06,1.4170000000000002e-06
<frozen codecs>:334:getstate,3,5.84e-07,5.84e-07
<frozen genericpath>:16:exists,1,1.1660000000000001e-06,9.166e-06
<frozen _collections_abc>:108:_check_methods,1,1.5830000000000001e-06,1.5830000000000001e-06
<frozen posixpath>:117:splitext,3,3.3760000000000004e-06,7.5840000000000006e-06
<frozen codecs>:322:decode,3,3.1670000000000003e-06,7.25e-06
<frozen os>:1127:__subclasshook__,1,9.170000000000001e-07,2.5e-06
<frozen posixpath>:42:_get_sep,3,4.5800000000000005e-07,8.33e-07
contextlib.py:361:__enter__,1,8.3e-08,8.3e-08
_local.py:166:__fspath__,1,1.209e-06,2.8250000000000002e-05
contextlib.py:359:__init__,1,4.59e-07,4.59e-07
contextlib.py:786:__init__,1,8.33e-07,8.33e-07
_local.py:289:drive,1,3.458e-06,2.0875000000000003e-05
_local.py:298:root,1,1.2500000000000002e-07,1.2500000000000002e-07
_local.py:307:_tail,1,1.2500000000000002e-07,1.2500000000000002e-07
_local.py:277:_raw_path,1,2.0840000000000003e-06,7.292000000000001e-06
contextlib.py:363:__exit__,1,1.041e-06,3.5830000000000003e-06
_local.py:227:__str__,1,4.624e-06,2.7041e-05
getlimits.py:709:min,3,1.041e-06,1.041e-06
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,8.458000000000001e-06,8.458000000000001e-06
~:0:<built-in method math.factorial>,3,7.92e-07,7.92e-07
~:0:<built-in method math.prod>,1,6.67e-07,6.67e-07
~:0:<method 'append' of 'list' objects>,38,4.6620000000000004e-06,4.6620000000000004e-06
~:0:<method 'insert' of 'list' objects>,2,5.830000000000001e-07,5.830000000000001e-07
~:0:<method 'index' of 'list' objects>,1,2.08e-07,2.08e-07
~:0:<method 'bit_length' of 'int' objects>,3,5.830000000000001e-07,5.830000000000001e-07
~:0:<method 'get' of 'dict' objects>,8,1.4170000000000002e-06,1.4170000000000002e-06
~:0:<method 'pop' of 'dict' objects>,2,4.59e-07,4.59e-07
~:0:<method 'keys' of 'dict' objects>,5,7.08e-07,7.08e-07
~:0:<method 'items' of 'dict' objects>,15,2.125e-06,2.125e-06
~:0:<method 'update' of 'dict' objects>,2,1.3750000000000002e-06,1.3750000000000002e-06
~:0:<method 'copy' of 'dict' objects>,1,2.91e-07,2.91e-07
~:0:<built-in method __new__ of type object at 0x1019b3cf0>,7,1.4170000000000002e-06,1.4170000000000002e-06
~:0:<method 'replace' of 'str' objects>,12,1.6250000000000001e-06,1.6250000000000001e-06
~:0:<method 'split' of 'str' objects>,2,1.209e-06,1.209e-06
~:0:<method 'join' of 'str' objects>,1,4.5800000000000005e-07,4.5800000000000005e-07
~:0:<method 'find' of 'str' objects>,2,5.41e-07,5.41e-07
~:0:<method 'lstrip' of 'str' objects>,14,1.8770000000000002e-06,1.8770000000000002e-06
~:0:<method 'rfind' of 'str' objects>,6,1.001e-06,1.001e-06
~:0:<method 'strip' of 'str' objects>,2,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<method 'startswith' of 'str' objects>,7,1.165e-06,1.165e-06
~:0:<method 'endswith' of 'str' objects>,6,7.5e-07,7.5e-07
~:0:<method 'removeprefix' of 'str' objects>,4,5.41e-07,5.41e-07
~:0:<built-in method builtins.abs>,5,1.1209e-05,1.1209e-05
~:0:<built-in method builtins.all>,2,1.418e-06,3.501e-06
~:0:<built-in method builtins.any>,2,1.9990000000000003e-06,5.125e-06
~:0:<built-in method builtins.getattr>,16,5.2090000000000004e-06,5.2090000000000004e-06
~:0:<built-in method builtins.hasattr>,14,3.917e-06,3.917e-06
~:0:<built-in method builtins.isinstance>,84,1.3000000000000001e-05,6.658300000000001e-05
~:0:<built-in method builtins.issubclass>,28,6.334000000000001e-06,6.334000000000001e-06
~:0:<built-in method builtins.iter>,1,1.2500000000000002e-07,1.2500000000000002e-07
~:0:<built-in method builtins.len>,74,6.963e-06,6.963e-06
~:0:<built-in method builtins.max>,18523,0.001183358,0.001183358
~:0:<built-in method builtins.min>,1,3.75e-07,3.75e-07
~:0:<built-in method builtins.sorted>,3,0.002517042,0.002517042
~:0:<built-in method builtins.sum>,1,1.334e-06,2.917e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,2,1.584e-06,1.584e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,2,9.570000000000001e-07,9.570000000000001e-07
~:0:<built-in method sys.intern>,6,3.1670000000000003e-06,3.1670000000000003e-06
~:0:<built-in method posix.stat>,1,8.000000000000001e-06,8.000000000000001e-06
~:0:<built-in method posix.getcwd>,1,5.3083000000000007e-05,5.3083000000000007e-05
~:0:<built-in method posix._path_splitroot_ex>,1,1.2080000000000001e-06,1.2080000000000001e-06
~:0:<built-in method posix._path_normpath>,3,1.2080000000000001e-06,1.2080000000000001e-06
~:0:<built-in method posix.fspath>,17,2.421e-06,3.0337e-05
~:0:<built-in method _codecs.utf_8_decode>,3,4.0830000000000005e-06,4.0830000000000005e-06
~:0:<built-in method _io.open>,1,0.000262959,0.000263959
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,2.542e-06,2.542e-06
~:0:<built-in method _abc._abc_instancecheck>,4,7.71e-06,5.1792e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,3.7624000000000004e-05,4.3084e-05
~:0:<built-in method _operator.index>,8,8.340000000000001e-07,8.340000000000001e-07
fromnumeric.py:3735:mean,3,6.999e-06,5.0458000000000004e-05
fromnumeric.py:1904:ravel,21,1.1336000000000001e-05,2.3127e-05
fromnumeric.py:1621:squeeze,1,1.333e-06,1.6250000000000001e-06
numerictypes.py:293:issubclass_,14,5.0410000000000005e-06,9.209000000000001e-06
multiarray.py:188:concatenate,16,1.294e-06,1.294e-06
numeric.py:171:ones,1,3.791e-06,4.5e-06
_ufunc_config.py:436:__init__,2,3.34e-07,3.34e-07
fromnumeric.py:3523:ndim,5,3.5430000000000002e-06,5.4180000000000005e-06
numeric.py:2465:<genexpr>,10,3.123e-06,4.915e-06
shape_base.py:295:hstack,4,2.9831000000000003e-05,4.0041000000000005e-05
fromnumeric.py:51:_wrapfunc,8,7.1660000000000005e-06,0.000190416
fromnumeric.py:757:partition,1,2.458e-06,4.4250000000000005e-05
numeric.py:324:full,4,9.669e-06,1.3792000000000001e-05
numeric.py:1964:isscalar,2,4.99e-07,7.49e-07
fromnumeric.py:109:take,1,6.25e-07,9.429200000000001e-05
fromnumeric.py:1129:argsort,1,1.7500000000000002e-06,3.1042e-05
fromnumeric.py:2879:cumsum,2,1.167e-06,2.0624e-05
fromnumeric.py:89:_wrapreduction_any_all,9,1.1706000000000001e-05,3.2542e-05
getlimits.py:722:max,3,7.08e-07,7.08e-07
_ufunc_config.py:462:__exit__,2,1.418e-06,2.375e-06
fromnumeric.py:3052:max,1,1.0000000000000002e-06,7.625000000000001e-06
fromnumeric.py:3328:prod,3,2.584e-06,7.1167e-05
numeric.py:1469:<genexpr>,8,1.542e-06,2.042e-06
multiarray.py:115:empty_like,7,5.830000000000001e-07,5.830000000000001e-07
multiarray.py:698:result_type,17,1.125e-06,1.125e-06
fromnumeric.py:105:_take_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1250:argmax,1,1.126e-06,1.0167000000000001e-05
_methods.py:57:_any,5,3.041e-06,1.3874000000000001e-05
_methods.py:66:_all,4,1.4170000000000002e-06,6.625e-06
numeric.py:2279:allclose,2,5.834e-06,0.00012800000000000002
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.543e-06,2.418e-06
multiarray.py:391:where,6,7.08e-07,7.08e-07
multiarray.py:769:dot,2,3.3300000000000003e-07,3.3300000000000003e-07
multiarray.py:1106:copyto,5,4.1700000000000004e-07,4.1700000000000004e-07
numerictypes.py:475:issubdtype,7,6.248e-06,1.6416e-05
fromnumeric.py:2338:sum,2,3.0420000000000003e-06,1.0375000000000001e-05
fromnumeric.py:2236:_clip_dispatcher,3,3.75e-07,3.75e-07
fromnumeric.py:2472:_any_dispatcher,3,2.08e-07,2.08e-07
fromnumeric.py:2584:_all_dispatcher,6,6.25e-07,6.25e-07
fromnumeric.py:3730:_mean_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
shape_base.py:216:_vhstack_dispatcher,4,2.081e-06,4.4990000000000005e-06
