function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,1.67e-07,1.67e-07
<frozen abc>:117:__instancecheck__,4,1.5440000000000002e-06,5.0501e-05
<frozen abc>:121:__subclasscheck__,28,3.5850000000000004e-06,4.1168e-05
<frozen genericpath>:157:_splitext,3,3.0420000000000003e-06,4.167e-06
_local.py:237:_format_parsed_parts,1,9.170000000000001e-07,1.25e-06
<frozen codecs>:312:__init__,1,1.5e-06,1.667e-06
<frozen posixpath>:131:splitdrive,4,1.167e-06,1.5e-06
<frozen codecs>:334:getstate,3,5.830000000000001e-07,5.830000000000001e-07
<frozen genericpath>:16:exists,1,1.126e-06,9.042e-06
<frozen _collections_abc>:108:_check_methods,1,1.917e-06,1.917e-06
<frozen posixpath>:117:splitext,3,3.501e-06,8.333000000000001e-06
<frozen codecs>:322:decode,3,2.667e-06,7.541e-06
<frozen os>:1127:__subclasshook__,1,1.0000000000000002e-06,2.917e-06
<frozen posixpath>:42:_get_sep,3,6.25e-07,1.0420000000000001e-06
contextlib.py:361:__enter__,1,1.2500000000000002e-07,1.2500000000000002e-07
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,8.583e-06,8.583e-06
~:0:<built-in method math.factorial>,3,9.170000000000001e-07,9.170000000000001e-07
~:0:<built-in method math.prod>,1,6.25e-07,6.25e-07
~:0:<method 'append' of 'list' objects>,38,4.628e-06,4.628e-06
~:0:<method 'insert' of 'list' objects>,2,5.84e-07,5.84e-07
~:0:<method 'index' of 'list' objects>,1,2.92e-07,2.92e-07
~:0:<method 'bit_length' of 'int' objects>,3,5.84e-07,5.84e-07
~:0:<method 'get' of 'dict' objects>,8,1.542e-06,1.542e-06
~:0:<method 'pop' of 'dict' objects>,2,9.160000000000001e-07,9.160000000000001e-07
~:0:<method 'keys' of 'dict' objects>,5,1.1240000000000002e-06,1.1240000000000002e-06
~:0:<method 'items' of 'dict' objects>,15,2.206e-06,2.206e-06
~:0:<method 'update' of 'dict' objects>,2,1.2080000000000001e-06,1.2080000000000001e-06
