function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,1.67e-07,1.67e-07
<frozen abc>:117:__instancecheck__,4,1.875e-06,5.3583000000000005e-05
<frozen abc>:121:__subclasscheck__,28,4.0420000000000004e-06,4.2917e-05
<frozen genericpath>:157:_splitext,3,2.6640000000000002e-06,3.3740000000000002e-06
_local.py:237:_format_parsed_parts,1,7.92e-07,1.2080000000000001e-06
<frozen codecs>:312:__init__,1,1.3750000000000002e-06,1.542e-06
<frozen posixpath>:131:splitdrive,4,9.600000000000001e-07,1.2510000000000002e-06
<frozen codecs>:334:getstate,3,5.43e-07,5.43e-07
<frozen genericpath>:16:exists,1,1.709e-06,1.0875e-05
<frozen _collections_abc>:108:_check_methods,1,1.875e-06,1.875e-06
<frozen posixpath>:117:splitext,3,3.834e-06,7.709e-06
<frozen codecs>:322:decode,3,3.3760000000000004e-06,9.376000000000001e-06
<frozen os>:1127:__subclasshook__,1,9.58e-07,2.8330000000000002e-06
<frozen posixpath>:42:_get_sep,3,7.92e-07,1.209e-06
contextlib.py:361:__enter__,1,8.3e-08,8.3e-08
_local.py:166:__fspath__,1,1.2080000000000001e-06,3.0125e-05
contextlib.py:359:__init__,1,2.08e-07,2.08e-07
contextlib.py:786:__init__,1,7.5e-07,7.5e-07
_local.py:289:drive,1,3.209e-06,2.1959e-05
_local.py:298:root,1,4.2000000000000006e-08,4.2000000000000006e-08
_local.py:307:_tail,1,8.3e-08,8.3e-08
_local.py:277:_raw_path,1,2.0000000000000003e-06,8.000000000000001e-06
contextlib.py:363:__exit__,1,1.207e-06,5.0410000000000005e-06
_local.py:227:__str__,1,5.625e-06,2.8917e-05
getlimits.py:709:min,3,9.170000000000001e-07,9.170000000000001e-07
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,8.542e-06,8.542e-06
~:0:<built-in method math.factorial>,3,6.67e-07,6.67e-07
~:0:<built-in method math.prod>,1,6.660000000000001e-07,6.660000000000001e-07
~:0:<method 'append' of 'list' objects>,38,4.419e-06,4.419e-06
~:0:<method 'insert' of 'list' objects>,2,4.59e-07,4.59e-07
~:0:<method 'index' of 'list' objects>,1,3.75e-07,3.75e-07
~:0:<method 'bit_length' of 'int' objects>,3,5.000000000000001e-07,5.000000000000001e-07
~:0:<method 'get' of 'dict' objects>,8,1.709e-06,1.709e-06
~:0:<method 'pop' of 'dict' objects>,2,8.33e-07,8.33e-07
~:0:<method 'keys' of 'dict' objects>,5,1.458e-06,1.458e-06
~:0:<method 'items' of 'dict' objects>,15,1.956e-06,1.956e-06
~:0:<method 'update' of 'dict' objects>,2,1.875e-06,1.875e-06
~:0:<method 'copy' of 'dict' objects>,1,3.75e-07,3.75e-07
~:0:<built-in method __new__ of type object at 0x101c1fcf0>,7,1.958e-06,1.958e-06
~:0:<method 'replace' of 'str' objects>,12,1.666e-06,1.666e-06
~:0:<method 'split' of 'str' objects>,2,1.542e-06,1.542e-06
~:0:<method 'join' of 'str' objects>,1,4.16e-07,4.16e-07
~:0:<method 'find' of 'str' objects>,2,6.67e-07,6.67e-07
~:0:<method 'lstrip' of 'str' objects>,14,2.251e-06,2.251e-06
~:0:<method 'rfind' of 'str' objects>,6,7.100000000000001e-07,7.100000000000001e-07
~:0:<method 'strip' of 'str' objects>,2,2.91e-07,2.91e-07
~:0:<method 'startswith' of 'str' objects>,7,1.4590000000000001e-06,1.4590000000000001e-06
~:0:<method 'endswith' of 'str' objects>,6,8.32e-07,8.32e-07
~:0:<method 'removeprefix' of 'str' objects>,4,5.43e-07,5.43e-07
~:0:<built-in method builtins.abs>,5,1.4376000000000001e-05,1.4376000000000001e-05
~:0:<built-in method builtins.all>,2,1.333e-06,3.958e-06
~:0:<built-in method builtins.any>,2,1.918e-06,5.833000000000001e-06
~:0:<built-in method builtins.getattr>,14,4.918e-06,4.918e-06
~:0:<built-in method builtins.hasattr>,30628,0.002392032,0.002392032
~:0:<built-in method builtins.isinstance>,46005,0.0030211920000000002,0.003074775
~:0:<built-in method builtins.issubclass>,30642,0.0020366200000000003,0.0020366200000000003
~:0:<built-in method builtins.iter>,1,1.2500000000000002e-07,1.2500000000000002e-07
~:0:<built-in method builtins.len>,74,6.873e-06,6.873e-06
~:0:<built-in method builtins.max>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<built-in method builtins.min>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<built-in method builtins.sorted>,3,0.0019000000000000002,0.0019000000000000002
~:0:<built-in method builtins.sum>,1,1.833e-06,4.208e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,2,2.7500000000000004e-06,2.7500000000000004e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,2,1.125e-06,1.125e-06
~:0:<built-in method sys.intern>,6,3.833e-06,3.833e-06
~:0:<built-in method posix.stat>,1,9.166e-06,9.166e-06
~:0:<built-in method posix.getcwd>,1,0.00032333300000000003,0.00032333300000000003
~:0:<built-in method posix._path_splitroot_ex>,1,1.3750000000000002e-06,1.3750000000000002e-06
~:0:<built-in method posix._path_normpath>,3,1.292e-06,1.292e-06
~:0:<built-in method posix.fspath>,17,2.458e-06,3.2208e-05
~:0:<built-in method _codecs.utf_8_decode>,3,6e-06,6e-06
~:0:<built-in method _io.open>,1,0.000158333,0.000159875
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,3.834e-06,3.834e-06
~:0:<built-in method _abc._abc_instancecheck>,4,8.791000000000001e-06,5.1708e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,3.6042000000000005e-05,4.1915e-05
~:0:<built-in method _operator.index>,8,1.126e-06,1.126e-06
fromnumeric.py:3735:mean,3,7.1660000000000005e-06,0.000251749
fromnumeric.py:1904:ravel,21,1.0248e-05,2.1333e-05
fromnumeric.py:1621:squeeze,1,1.126e-06,1.4170000000000002e-06
numerictypes.py:293:issubclass_,14,6.164000000000001e-06,1.1957000000000001e-05
multiarray.py:188:concatenate,14,1.126e-06,1.126e-06
numeric.py:171:ones,1,4.709e-06,5.708e-06
_ufunc_config.py:436:__init__,2,4.59e-07,4.59e-07
fromnumeric.py:3523:ndim,5,3.3760000000000004e-06,5.334e-06
numeric.py:2465:<genexpr>,10,2.876e-06,4.291e-06
shape_base.py:295:hstack,4,0.00017670700000000001,0.000186708
fromnumeric.py:51:_wrapfunc,6,6.795e-06,0.000527876
fromnumeric.py:757:partition,1,1.7920000000000002e-06,0.000600209
numeric.py:324:full,4,1.1001e-05,1.5834e-05
numeric.py:1964:isscalar,2,5.41e-07,8.33e-07
fromnumeric.py:109:take,1,6.67e-07,8.7459e-05
fromnumeric.py:1129:argsort,1,1.584e-06,0.00039520900000000004
fromnumeric.py:89:_wrapreduction_any_all,9,1.1498e-05,3.654e-05
getlimits.py:722:max,3,7.49e-07,7.49e-07
_ufunc_config.py:462:__exit__,2,2.5410000000000003e-06,3.666e-06
fromnumeric.py:3052:max,1,6.25e-07,4.875e-06
fromnumeric.py:3328:prod,3,2.25e-06,4.8041e-05
numeric.py:1469:<genexpr>,8,1.543e-06,2.042e-06
