function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,2.08e-07,2.08e-07
<frozen abc>:117:__instancecheck__,4,1.917e-06,5.5125000000000005e-05
<frozen abc>:121:__subclasscheck__,28,4.293e-06,4.5875000000000004e-05
<frozen genericpath>:157:_splitext,3,2.666e-06,3.3750000000000003e-06
_local.py:237:_format_parsed_parts,1,9.170000000000001e-07,1.4170000000000002e-06
<frozen codecs>:312:__init__,1,1.0840000000000001e-06,1.292e-06
<frozen posixpath>:131:splitdrive,4,9.59e-07,1.2930000000000002e-06
<frozen codecs>:334:getstate,3,4.59e-07,4.59e-07
<frozen genericpath>:16:exists,1,1.1660000000000001e-06,1.0166e-05
<frozen _collections_abc>:108:_check_methods,1,1.7500000000000002e-06,1.7500000000000002e-06
<frozen posixpath>:117:splitext,3,3.041e-06,7.000000000000001e-06
<frozen codecs>:322:decode,3,2.6650000000000003e-06,1.3957e-05
<frozen os>:1127:__subclasshook__,1,1.0000000000000002e-06,2.7500000000000004e-06
<frozen posixpath>:42:_get_sep,3,6.650000000000001e-07,1.083e-06
contextlib.py:361:__enter__,1,8.400000000000001e-08,8.400000000000001e-08
_local.py:166:__fspath__,1,1.376e-06,3.4667000000000005e-05
contextlib.py:359:__init__,1,2.91e-07,2.91e-07
contextlib.py:786:__init__,1,4.16e-07,4.16e-07
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,9.875000000000001e-06,9.875000000000001e-06
~:0:<method 'append' of 'list' objects>,37,4.746e-06,4.746e-06
~:0:<method 'insert' of 'list' objects>,2,5.830000000000001e-07,5.830000000000001e-07
~:0:<method 'index' of 'list' objects>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<method 'get' of 'dict' objects>,8,1.957e-06,1.957e-06
~:0:<method 'pop' of 'dict' objects>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<method 'keys' of 'dict' objects>,5,8.750000000000001e-07,8.750000000000001e-07
~:0:<method 'items' of 'dict' objects>,10,1.667e-06,1.667e-06
~:0:<built-in method __new__ of type object at 0x1053dfcf0>,7,2.624e-06,2.624e-06
~:0:<method 'replace' of 'str' objects>,12,1.791e-06,1.791e-06
~:0:<method 'split' of 'str' objects>,2,1.2930000000000002e-06,1.2930000000000002e-06
~:0:<method 'join' of 'str' objects>,1,5.000000000000001e-07,5.000000000000001e-07
~:0:<method 'find' of 'str' objects>,2,6.25e-07,6.25e-07
~:0:<method 'lstrip' of 'str' objects>,14,2.125e-06,2.125e-06
~:0:<method 'rfind' of 'str' objects>,6,7.09e-07,7.09e-07
~:0:<method 'strip' of 'str' objects>,2,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<method 'startswith' of 'str' objects>,7,1.3750000000000002e-06,1.3750000000000002e-06
~:0:<method 'endswith' of 'str' objects>,6,7.09e-07,7.09e-07
~:0:<method 'removeprefix' of 'str' objects>,4,5.41e-07,5.41e-07
~:0:<built-in method builtins.abs>,2,6.542e-06,6.542e-06
~:0:<built-in method builtins.all>,2,1.5e-06,3.125e-06
~:0:<built-in method builtins.any>,2,1.5830000000000001e-06,5.833000000000001e-06
~:0:<built-in method builtins.getattr>,8,4.625000000000001e-06,4.625000000000001e-06
~:0:<built-in method builtins.hasattr>,30628,0.0025138210000000003,0.0025138210000000003
~:0:<built-in method builtins.isinstance>,45991,0.0031005710000000003,0.0031556960000000004
~:0:<built-in method builtins.issubclass>,30642,0.002165358,0.002165358
~:0:<built-in method builtins.iter>,1,1.2500000000000002e-07,1.2500000000000002e-07
~:0:<built-in method builtins.len>,63,6.834e-06,6.834e-06
~:0:<built-in method builtins.max>,1,4.5800000000000005e-07,4.5800000000000005e-07
~:0:<built-in method builtins.min>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<built-in method builtins.sorted>,3,0.001684458,0.001684458
~:0:<built-in method builtins.sum>,1,1.875e-06,3.666e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,1,1.125e-06,1.125e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,1,5.84e-07,5.84e-07
~:0:<built-in method sys.intern>,6,4.667e-06,4.667e-06
~:0:<built-in method posix.stat>,1,9e-06,9e-06
~:0:<built-in method posix.getcwd>,1,0.00024566700000000003,0.00024566700000000003
~:0:<built-in method posix._path_splitroot_ex>,1,2.7500000000000004e-06,2.7500000000000004e-06
~:0:<built-in method posix._path_normpath>,3,1.083e-06,1.083e-06
~:0:<built-in method posix.fspath>,17,2.5020000000000004e-06,3.6835e-05
~:0:<built-in method _codecs.utf_8_decode>,3,1.1292000000000001e-05,1.1292000000000001e-05
~:0:<built-in method _io.open>,1,0.00011225,0.000113542
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,3.2910000000000003e-06,3.2910000000000003e-06
~:0:<built-in method _abc._abc_instancecheck>,4,7.333000000000001e-06,5.3208e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,3.8832000000000004e-05,4.4625e-05
~:0:<built-in method _operator.index>,9,1.373e-06,1.373e-06
_local.py:289:drive,1,3.791e-06,2.5500000000000003e-05
_local.py:298:root,1,1.66e-07,1.66e-07
_local.py:307:_tail,1,8.400000000000001e-08,8.400000000000001e-08
_local.py:277:_raw_path,1,2.042e-06,8.542e-06
contextlib.py:363:__exit__,1,1.0840000000000001e-06,4.3750000000000005e-06
_local.py:227:__str__,1,6.124e-06,3.3291000000000004e-05
fromnumeric.py:3735:mean,3,6.876000000000001e-06,5.3709000000000004e-05
shape_base.py:21:atleast_1d,6,7.959000000000001e-06,1.3541000000000001e-05
fromnumeric.py:1904:ravel,9,4.542e-06,1.2043000000000001e-05
multiarray.py:188:concatenate,14,1.082e-06,1.082e-06
